gene_a	gene_b	label
39212	46025	1
1444	44984	1
53754	41098	0
16903	31166	1
45619	24391	0
14025	34023	1
34023	19849	1
45257	20057	0
50823	47191	0
35709	25326	0
47776	4408	0
51741	41472	1
41993	53953	1
8917	36916	1
7747	33232	1
17494	17430	0
54005	33649	0
1665	25903	1
14559	30825	1
47771	30825	1
17676	38343	0
48607	38985	1
40774	37829	0
46054	46	0
16251	15235	0
39572	22996	0
47446	24180	1
4113	45170	1
14317	36916	1
48426	8358	0
50805	10220	1
4821	41296	0
28687	40585	0
48339	12656	0
35828	6437	0
34023	1131	1
19034	29985	1
15204	33430	1
16844	51519	1
34412	12662	0
51304	24743	1
22580	39572	0
26315	41036	0
18303	5185	0
17905	29256	0
26198	551	1
43047	7637	0
862	45192	0
9848	21247	1
17373	9273	0
31220	34608	0
9729	26258	0
50089	9951	0
28478	26337	1
44667	4113	1
34176	29613	0
16468	6057	0
53953	13914	1
19958	21318	1
28673	50895	0
45329	19880	0
34023	24493	1
53580	39043	1
50820	48303	1
11770	334	1
54008	39043	1
42370	38919	1
22700	49281	0
30019	19034	1
41818	43903	1
1363	11116	1
18483	12294	0
14454	2620	0
46862	4390	0
34023	9749	1
17430	31384	0
16794	17408	0
5452	10723	1
44564	12559	0
37477	18043	0
46960	43903	1
9755	27351	1
16626	39776	0
4316	11786	1
26372	24458	0
38254	30254	1
25183	9871	0
33992	3895	0
47139	18299	1
52398	36379	0
36342	53219	0
43138	18345	1
1912	36688	0
1960	19406	1
16712	25037	1
25726	22214	1
12242	19152	1
36432	50632	0
3968	16627	0
41103	45386	1
3892	29460	0
1482	47757	1
39043	4472	1
3368	1029	1
37265	12966	0
4924	28504	0
37186	43811	0
18927	44889	1
31747	10801	1
16844	35172	1
7294	6463	0
3768	27304	1
38582	35439	1
31000	35241	0
5479	12757	0
28971	29796	1
40006	38423	1
50559	14792	1
45525	14743	1
14764	46538	1
41990	4113	1
953	2418	1
33733	28478	1
38901	48923	0
4768	15135	1
18835	7932	1
52387	36350	1
35222	38919	1
43085	24082	0
33405	28102	1
46857	24475	0
47302	3810	0
53663	33719	0
48688	12967	0
38813	33622	0
38126	26734	1
11003	12161	1
26313	38778	0
32273	34379	0
11720	17598	0
28478	20799	1
53953	44195	1
51890	20185	0
46192	8022	0
16528	17576	0
34023	42314	1
49051	30847	1
20145	46451	0
16865	38126	1
51494	22864	0
710	12197	0
51832	23339	1
34096	19177	1
16409	5509	1
11415	15687	0
52627	50929	0
51425	4073	1
20631	23742	1
29499	35487	0
19464	29723	0
44452	19034	1
13589	45310	0
38126	716	1
18866	53017	1
48700	51004	0
50892	53870	0
33556	33760	0
25148	6879	0
35474	38912	1
3448	34315	1
8348	34023	1
45912	9509	1
606	29188	0
36028	9844	0
52477	4316	1
6804	45847	1
38126	19237	1
44417	24050	0
2669	52982	0
42967	25267	0
563	35466	0
40081	26198	1
848	13097	0
12961	6121	0
16844	10219	1
45720	51996	0
49938	10723	1
9023	32233	0
44930	46960	1
53454	6372	0
16865	51255	0
6173	9146	0
30825	27789	1
22610	44978	0
8453	16654	1
33491	34023	1
13733	25987	0
39241	15824	1
38064	30924	0
12834	46975	0
32070	18980	0
14190	53309	0
53953	13088	1
31383	32726	0
32040	29201	0
29315	46763	0
50669	37292	0
16844	34872	1
37860	11181	0
32593	19034	1
1136	19960	0
17607	36648	0
36910	32400	1
10636	16844	1
7327	106	0
13251	33027	1
50394	16654	1
26492	52706	0
44549	25800	0
43070	49785	0
2626	9292	1
6657	1320	0
7004	28478	1
46070	29485	1
3626	10801	1
39043	39638	1
43060	4061	1
29796	34023	1
23842	29431	1
38126	43811	1
39355	25994	1
10662	34436	1
52026	37268	1
46382	25450	1
51328	27389	1
30333	26093	1
24850	25270	1
41262	45525	1
50280	52311	1
23545	3865	0
51382	30825	1
22131	9681	1
48244	29612	0
41946	31384	0
23274	30979	0
1571	38645	0
19546	26831	0
40669	36916	1
13996	41269	1
19079	2812	0
44975	2260	1
29610	18256	1
26615	33733	0
19443	12559	0
44930	18866	1
34399	9900	0
2940	24992	0
24192	27349	0
7329	23483	0
15204	4961	1
42265	38141	1
37500	34023	1
43794	34023	1
28478	43838	1
53807	48225	0
11597	8137	0
14888	25037	1
40468	31290	1
1340	53114	1
32739	13061	1
19693	8181	1
38126	26354	1
18967	43392	1
12111	47105	1
37408	15244	0
40671	5475	0
36460	16844	1
47484	35154	1
8587	16122	0
13804	37983	0
855	17019	0
9758	31506	0
36212	42880	0
31529	41677	0
50528	50805	1
20979	39043	1
33437	29447	1
39043	9825	1
35202	41521	1
9994	20252	1
610	31003	0
18376	5294	0
23481	30825	1
53953	8092	1
5187	32112	1
14346	30149	0
47662	46784	1
26264	29433	0
21641	34662	1
48776	46572	0
41448	16844	1
40731	47749	1
8453	40375	0
6804	42265	1
41030	17637	0
32086	34835	0
12635	18835	1
16434	43021	0
4095	5648	1
53053	9211	0
16177	26568	0
3531	40233	0
30329	40586	0
51187	46972	0
7884	34023	1
48137	1830	0
9142	25183	1
31433	23043	0
15266	12134	0
39043	35765	1
11114	33513	0
35630	18337	1
36489	5006	0
28516	32429	0
7457	1844	0
26282	13847	0
11869	19074	0
27278	22410	1
19939	27144	0
49658	13704	0
22185	15997	0
7365	5178	0
26411	35470	1
31806	40978	0
18461	26386	0
4855	23215	0
34023	11262	1
27258	43121	0
16038	40496	0
46538	38126	1
25817	29610	0
53442	14550	1
3799	48470	1
27526	41103	1
10878	47356	0
44824	41521	1
26324	48980	1
17748	19141	1
2487	41102	0
12244	11609	0
24776	44533	1
1145	27278	1
38126	51281	1
19797	52385	0
24020	28679	0
10807	1026	0
4821	43448	0
716	9349	1
5719	47862	1
22611	735	0
15289	37630	0
35412	5466	0
21846	51758	0
31313	2888	1
43364	30776	1
16654	16614	1
42527	40132	0
9369	1547	1
23278	35461	0
23293	27278	1
19741	27007	0
43763	11578	0
39296	22214	0
21633	37922	0
21641	43799	1
5834	49845	0
6270	40832	0
27648	17958	0
26431	4354	0
10565	20901	0
13264	25292	1
16844	17113	1
1952	36509	0
34750	35700	0
15856	28204	0
46538	4551	1
31341	10682	0
38197	38850	0
15451	14711	0
28641	47731	0
29546	50820	1
33405	52477	1
36443	25726	1
1145	43598	1
25249	6705	0
26063	29530	0
12416	30825	1
8578	50751	0
39083	51256	0
18361	42908	1
1793	37611	0
7053	47723	0
11332	33681	1
39788	4113	1
43903	27351	1
27789	40096	0
20414	20001	0
45877	32078	0
32400	21043	1
12879	49662	0
13240	35010	0
25270	20726	1
4010	40459	0
27881	4770	1
46410	21417	0
38195	6266	1
17523	50096	1
42960	716	1
30830	29690	0
30979	48875	0
758	5133	0
25928	13171	0
38126	43748	1
18470	25450	1
34023	35241	1
31475	16104	0
41720	4189	1
18810	50823	1
1629	38126	1
1165	19084	0
4184	10367	0
10243	27322	0
44028	15364	0
22661	19004	1
19913	39752	0
18928	28086	0
39685	24372	0
33595	8763	1
28478	23530	1
12238	29796	1
43533	32125	0
34592	25717	0
38141	3722	1
51458	11639	1
34531	39636	0
1444	27665	1
39255	52139	1
15061	33477	1
24840	38126	1
24148	47527	0
48752	9898	0
22540	42390	1
34953	52501	0
24992	8953	1
39280	41521	1
4189	35439	1
30462	28513	1
18410	43400	0
6042	23537	0
42908	8336	0
41544	20478	0
53097	44939	0
46250	37547	0
51345	18049	1
50394	24145	1
10377	50030	1
29211	25074	0
17523	28254	1
20922	51328	1
27665	52477	1
26793	45720	0
19646	45433	0
14628	32739	1
11877	10219	0
9146	25247	0
38176	13247	0
34436	16502	1
20355	38109	0
31356	38222	1
472	11155	1
15312	52885	0
41197	17222	0
31852	43136	0
3974	52511	1
15543	46427	1
49201	38104	1
45406	7478	0
31220	4558	1
12217	25867	1
10723	44034	1
43903	6383	1
21102	7288	1
20943	36289	0
20400	25292	0
41677	30844	0
53824	39418	0
8243	35222	1
22337	1578	0
7399	758	0
45523	26605	0
30844	34953	1
35791	19855	0
11657	42136	0
10109	41456	0
34023	38599	1
45962	23674	0
4628	16031	1
32973	30177	0
47931	5047	0
46782	34423	0
18835	20722	1
29850	1694	0
14851	20831	1
30825	31507	1
26405	6542	1
49201	1666	1
36988	15824	1
15643	19843	0
44329	27141	0
38126	12031	1
23742	21613	1
30776	47308	1
34474	46498	0
37685	433	1
37168	11284	0
7750	51357	0
52477	40081	1
34885	12650	0
43759	6914	1
22645	45526	1
25867	29272	1
40992	154	0
37102	25697	0
26928	23269	1
9507	3613	0
8645	6166	1
39453	30363	1
15889	107	0
14654	7905	1
8125	31973	0
31412	49535	0
16844	12412	1
44954	1275	0
1666	53953	1
34023	32973	1
27139	15126	0
36349	11259	0
44184	31387	1
12238	261	1
6092	4398	0
13650	34023	1
26743	41535	1
41869	18810	1
47361	37415	0
39241	28254	1
34436	36707	1
7133	20956	0
16654	22169	1
51323	10421	0
6251	29333	0
36400	32529	0
6225	34023	1
20001	21519	1
18835	3820	1
16654	42474	1
7248	12732	0
43404	16844	1
20693	52881	1
24955	38126	1
6461	37002	0
21775	1546	1
7004	4020	1
21775	11099	1
43661	42289	0
34023	42883	1
23711	44307	0
21233	2049	1
42333	5168	0
3824	53953	1
47124	33401	1
16844	11262	1
21164	30825	0
51594	44256	1
34102	41262	1
26817	22365	0
18263	41499	1
28646	34023	1
10751	28478	1
23197	1901	0
8744	45389	0
38126	28139	1
40859	38751	0
705	17896	0
16060	38648	0
33228	48980	1
31873	28725	1
13600	21775	1
26312	46854	0
15170	32225	0
13174	53953	1
45064	51924	1
49947	43073	0
43477	28338	1
13127	44783	1
9510	1608	0
13813	52004	0
24079	28478	1
38141	31869	1
23671	10723	1
33089	736	0
9689	48844	0
27565	51719	0
25726	34965	1
39596	28725	1
28941	37691	0
9125	22224	0
30764	19818	1
48312	18436	1
8351	44930	1
44034	24354	0
17598	30748	0
17629	25147	0
1870	12220	1
38313	30825	1
16844	24938	1
28197	51514	0
33952	26207	1
3383	38329	0
16844	44893	1
29485	13599	1
19880	40231	0
22547	8873	0
40011	31166	0
50394	31256	1
23424	47943	1
52574	25319	0
47096	16844	1
53090	6154	1
49221	6787	0
31035	49395	1
29485	26187	1
4585	46070	1
12217	13139	1
50444	27175	0
46577	10888	0
35439	53442	1
41596	36960	0
32400	52311	1
26102	1444	1
47527	16844	1
7777	12813	0
19485	47574	1
35583	16800	0
41374	13061	1
7385	15542	0
18401	27349	0
53503	4886	0
43751	35489	1
26635	5409	0
16322	35985	0
36910	4077	1
2837	26198	1
50907	39128	0
43138	7096	1
18900	30825	1
49441	48169	0
18376	50278	0
34023	33781	1
34258	8453	1
30505	11829	0
16712	44603	0
1805	21782	0
28478	32992	1
14686	46572	0
6063	6914	1
42964	37466	0
25033	32879	0
20736	35834	0
26242	51552	0
23753	2925	0
25884	45321	1
39287	31558	0
20252	53953	1
19034	33787	1
42908	23026	1
37002	35439	1
15054	50954	0
28846	11170	0
32168	25999	0
39043	16298	1
38141	28691	1
38126	49516	1
18967	42908	1
49197	28543	0
28478	32973	1
20510	2831	1
3355	11089	1
45720	1195	1
843	4384	1
42862	32146	0
27345	19034	1
18835	51609	1
18804	18651	1
41521	44430	1
6166	47763	1
19034	19141	1
26354	41869	0
44515	13414	0
6181	16903	1
19010	51717	1
11328	18978	1
31240	34023	1
34023	24689	1
42295	22644	0
5185	42758	0
25537	44789	0
53953	3575	1
45658	3637	0
10028	49885	0
53028	34227	0
46699	36747	1
21280	24272	0
9620	20922	1
31144	22547	0
22750	51719	0
14025	28478	1
52379	39526	0
6722	35470	1
3032	33622	0
12879	38126	1
16844	8645	1
50181	29702	0
46545	52817	0
34036	34230	0
28273	16166	0
5608	19325	1
46881	53663	1
31931	38126	1
49830	21640	1
29317	43676	0
50089	36580	1
41729	34023	1
45171	38126	1
24257	11570	1
14838	34	0
12572	28436	1
1672	28478	1
4961	51050	1
4010	7391	0
31356	28494	1
26198	45377	1
22692	44939	0
41456	7881	0
24430	46332	0
35143	30285	0
32317	34351	1
22722	43255	0
28069	11249	1
46605	47469	1
39407	36771	0
44954	26093	1
17488	53510	0
49650	3922	1
47862	47308	1
1482	39296	0
19485	23266	0
19633	40756	0
16059	24777	0
4113	17442	1
40669	9848	1
53953	51172	1
11002	13245	1
19617	29610	1
3227	6241	0
35531	38126	1
50760	35439	1
8966	50532	0
37768	48783	0
53432	35308	0
9711	31861	0
3355	10758	1
11501	30462	1
23742	11251	1
40094	39043	1
27946	14792	0
3489	19635	0
21664	41818	0
6267	32086	0
13139	13596	0
32233	9251	0
39043	37466	1
27891	17840	0
16251	43596	0
38566	44908	0
37802	25309	0
52064	37161	0
28502	18449	1
34023	2244	1
28478	24654	1
35545	42407	0
15701	27691	1
32409	36223	1
47254	33621	0
37979	34023	1
20693	8327	1
3785	18041	0
32519	28941	0
32332	12785	0
35277	38919	1
31279	40959	0
20377	1923	0
26093	44098	1
7334	45386	1
32984	38584	0
19719	48594	0
46419	31386	0
30333	35985	1
29165	30611	1
48314	23500	0
19010	18810	1
30174	16844	1
16250	49119	0
50278	20431	0
27719	18835	1
13743	43058	0
43426	28243	0
32691	12420	0
7505	20414	0
23730	44024	0
19077	52746	0
50760	50823	1
37927	30309	0
13616	27471	1
26720	53746	0
38760	50019	0
4113	38222	1
36852	10723	1
34023	27107	1
49427	33957	0
11570	40731	1
39175	13318	0
4007	437	0
34023	34330	1
28662	11770	1
38126	53294	1
28562	50704	1
23035	7024	1
1153	36916	1
29271	19549	0
8874	53131	0
15146	35485	0
50464	3974	0
27700	16844	1
15612	9185	0
33361	8053	0
13862	19085	0
53365	33430	1
47716	27908	0
27503	40800	0
49868	20414	0
16840	7133	0
26404	35693	0
23093	34023	1
45619	41838	0
36096	49106	0
28876	48949	0
44764	35799	0
134	27445	1
36707	33430	1
46025	34137	1
45183	38231	0
13413	10728	0
34023	10565	1
28478	33656	1
18903	44094	0
36483	16844	1
23369	9974	0
47881	12249	0
34023	44628	1
33477	9698	1
9898	53510	1
33398	3493	1
25814	34023	1
31347	19839	1
44119	32329	0
18912	3147	1
9633	4036	0
26003	28949	0
19034	12101	1
51650	49071	0
26817	35283	1
10723	12441	1
38584	32984	0
16735	52815	0
11433	5280	0
38677	13287	0
17676	27088	0
31370	27999	0
29485	26743	1
41521	8959	1
22926	16844	1
38861	32845	0
48755	34222	0
18835	13061	1
28478	16311	1
51213	27970	1
19946	38126	1
40132	25563	0
7084	20688	0
43566	5979	0
33522	10723	1
4470	50496	1
39568	27604	1
51594	23192	1
50719	1885	1
2535	12630	0
21148	34023	1
7935	49982	0
1395	20693	1
13981	39877	0
16844	433	1
4551	47527	1
34023	4707	1
24022	11149	0
47139	52562	1
50154	26411	1
14355	53605	0
4152	18835	1
16844	18376	1
51650	18488	1
38126	26770	1
1201	5832	1
20759	43735	0
36399	14084	0
12220	1870	1
41818	38919	1
15061	26692	1
25999	51715	1
4778	5509	1
11958	4184	0
37766	37723	0
17977	34023	1
33409	20262	0
14603	27042	0
13382	18610	1
23781	23742	1
50637	6412	1
11249	4113	1
50089	43073	1
41566	52511	1
11505	10262	0
47386	50408	0
16696	14426	0
39203	19761	0
41098	53754	0
26698	35701	0
7745	3297	0
26411	34436	1
14731	17421	0
22368	1102	0
26177	51638	1
44626	24574	0
31511	6701	0
38126	48971	1
9463	3365	0
31990	7617	1
41370	25867	1
36910	44930	1
53420	38159	0
28478	42582	1
13507	47622	1
39314	35015	0
30681	32529	0
28725	30825	1
19791	47980	0
40045	50280	1
34484	4113	1
29702	5386	0
25651	39375	0
51345	14190	0
28478	33252	1
50089	29165	1
7941	41582	0
28254	26093	1
21588	4778	0
49617	39407	0
39557	6704	0
22860	6722	1
10748	22062	1
35813	44009	0
29472	47484	0
31474	38677	0
51160	44978	0
4113	448	1
39255	26809	1
51435	39255	1
35693	38126	1
13586	51245	0
13559	42349	1
22128	30466	0
46229	33137	1
43438	29148	0
38919	11332	1
48353	51667	0
1408	27804	0
41262	53863	0
20470	16874	0
51050	29485	1
18967	14317	1
9064	50823	1
8277	15031	0
33188	27345	0
11818	43400	1
50391	28478	1
27959	4648	0
13075	52469	1
5015	34521	1
13554	8705	1
19004	24313	1
22097	9848	1
46616	6030	0
26411	5832	1
38919	49414	1
36868	48762	0
43826	47610	1
37908	9738	1
1246	45690	0
19895	30301	0
3297	984	0
9349	49201	1
15440	3772	0
53131	12930	0
15740	11786	1
17047	11570	1
8953	20854	0
29228	34023	1
25867	11818	1
43236	35485	0
24501	11732	0
28102	44601	1
8243	12190	1
18488	37190	1
9514	53203	1
34099	13554	0
5015	30920	0
43751	4961	1
7986	2447	1
19377	10723	1
46058	42295	0
33595	45720	1
52044	12834	0
19786	45575	1
10888	46577	0
24635	42039	0
1153	21775	1
51547	37268	1
14856	49686	0
37156	39414	0
42908	43759	1
2794	30137	0
51661	42754	0
42548	38126	1
44682	7072	0
41596	38302	0
30825	47300	1
52313	44611	0
48470	15204	1
38925	46405	1
4113	45515	1
44301	39043	1
2882	38857	0
38126	19683	1
50596	24597	1
28478	4580	1
50907	7497	0
7245	45720	1
33027	30873	0
9497	45958	1
9902	10553	1
38423	14014	1
23868	16301	0
20249	40091	0
23129	13217	1
18501	10877	0
45257	28478	1
16844	18835	1
18736	48440	0
9902	18835	1
27351	9497	1
36707	392	1
4328	42481	0
9063	19786	0
18835	44302	1
38354	31843	0
25726	10768	0
17523	1415	1
2828	19786	1
27210	12005	1
7893	45196	1
14921	31736	0
17868	39043	1
10723	19932	1
42572	38126	1
25726	18569	1
9439	16468	1
20298	43496	0
49201	46813	1
45211	34534	0
44138	53201	0
29829	16485	1
23636	28478	1
37010	19356	1
24082	5409	0
31290	31747	1
9349	33595	1
5545	16774	1
28478	35937	1
13654	45525	1
45890	48618	0
4789	49125	1
47209	29613	0
48454	33704	0
46530	22582	1
7072	13515	0
18152	49849	1
9503	24279	1
12861	30813	0
50705	26793	0
19485	23176	1
24198	14764	0
40977	41374	1
6834	4408	0
13090	26193	1
53953	1245	1
28478	13083	1
716	10164	1
39155	4342	1
25450	19464	1
16844	7365	1
14957	35010	1
16903	41103	1
52026	21349	1
29806	33647	1
14941	18830	0
19786	1388	1
40420	44311	0
31094	50054	1
45833	25251	0
17656	20976	0
12575	4408	0
87	41993	0
10611	48059	0
11301	27389	1
17217	5133	0
15824	20238	1
52516	27587	0
16567	38126	1
32933	10748	1
716	36408	1
45535	26036	0
50366	8243	1
12834	24161	0
19185	15251	0
11032	2940	0
20693	49414	1
9960	45958	1
31400	31416	0
18978	5545	1
46087	134	0
26770	53365	1
39275	36197	0
9846	1560	0
35709	4468	0
5247	15349	0
53416	43965	0
48442	1444	1
23545	37198	0
3365	20440	0
1546	25450	1
20410	35308	0
31672	29532	0
43013	16654	1
51609	18835	1
109	28417	1
12137	37521	0
5508	15388	0
28478	21290	1
4051	1517	0
16844	41296	1
35608	26386	0
34538	34023	1
18596	18956	0
22722	41282	1
53947	18551	0
7804	37299	0
28478	4777	1
53953	24257	1
20979	16485	0
227	2449	0
11044	4383	0
28478	5380	1
17275	12534	0
30329	16844	1
11917	47309	0
53407	10988	0
49584	24294	0
40430	27580	1
3967	22232	0
5718	24079	0
31511	46764	0
11535	18562	0
52565	5473	1
31151	26375	0
45962	26337	0
48878	12809	0
14628	15572	1
21108	30358	0
53017	25662	1
31757	32670	1
10337	11003	1
30307	30317	0
39270	45921	0
25706	10799	0
35670	46282	0
7916	31351	0
27389	8160	1
46538	10481	1
39155	18429	1
24283	35466	0
11290	38692	1
41890	30027	0
22536	1395	1
49332	48157	0
34023	16737	1
10607	16654	1
28662	26552	0
41565	34527	1
5235	17454	0
53594	26658	0
19979	40861	1
16167	14014	0
47329	40256	0
33390	1172	0
26734	53953	1
22722	51304	1
10553	46577	1
41362	32806	0
30209	18062	0
18016	36408	0
46864	48753	0
5334	2697	0
16273	31624	0
33992	50566	0
47443	40272	0
47757	15140	1
1072	23203	0
42161	21005	0
41121	50261	1
21503	52313	0
10050	14851	0
34023	46424	1
18978	20238	1
51478	52377	0
49067	27020	0
16844	3675	1
38126	50251	1
49938	49641	1
790	19617	1
40484	19885	0
34023	33228	1
20759	50050	0
50349	38126	1
46870	7935	0
30825	24294	1
23739	23839	1
32559	51345	1
34792	7129	1
17315	35580	0
1762	34813	0
33804	35738	1
20259	3824	0
40380	34318	0
25253	10421	1
48810	46070	1
52584	44610	1
8774	4590	0
38126	33799	1
7172	43512	0
13804	28478	1
35426	16844	1
46985	52318	1
10877	30830	0
13700	5887	0
9150	14163	0
32854	30825	1
29829	7823	0
47343	10119	0
25904	11785	1
43722	35985	1
23783	30813	0
26495	21879	0
50805	44098	1
40439	26605	0
49997	25867	1
27020	50280	1
20169	41286	0
10758	15478	1
8358	35958	0
7745	30825	1
24475	24012	0
16844	46983	1
6067	27580	0
18719	14339	0
20726	24850	1
16247	2445	0
41883	31038	0
50318	26198	1
7151	9395	0
34023	35286	1
30213	12441	0
23502	16192	0
13711	16485	1
9405	16797	0
6085	25103	1
23713	23839	0
4113	14231	1
4992	28366	0
50284	47640	0
30771	8243	1
964	52517	0
42690	13218	0
31045	10185	0
19141	9275	0
51475	12083	1
16273	23443	0
31504	25000	1
30825	17650	1
10723	3231	1
16654	5911	1
32513	9825	0
38126	842	1
11435	463	0
9510	50910	0
34043	51328	1
14256	25450	1
39540	27693	0
16815	23397	0
34023	3322	1
7683	6914	1
1998	43283	0
5015	16	0
6542	26539	1
22703	21093	0
33140	25966	0
51915	11358	0
38466	49535	0
45838	38504	0
1153	11374	1
2857	28478	1
37161	15124	0
42254	30347	1
45186	23069	0
20725	6548	0
44099	34692	1
31356	41521	1
47746	40059	0
38418	9526	0
37206	3297	0
41749	52785	0
8053	26492	0
49830	38321	1
16332	26160	0
25726	38991	0
10551	53879	0
39193	46538	1
9405	26743	1
30820	46600	0
32649	13554	0
41144	35549	0
33626	27630	0
39017	34608	0
12242	49794	1
11786	43577	1
6166	34675	1
2429	20392	1
49830	8917	1
35199	19576	1
5836	18920	1
1966	44930	1
6657	14581	0
11472	7648	0
45720	26187	1
18991	20627	0
40878	7913	0
24635	38919	1
24192	48289	1
48378	45064	0
52611	53665	0
52425	14603	0
29677	46585	1
45247	52486	0
10622	22549	1
9331	11864	1
23424	33525	1
39043	28265	1
50853	45284	0
